@relation cleanedleaf-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.8-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P14.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute Eccentricity numeric
@attribute Asp_Ratio numeric
@attribute Elongation numeric
@attribute Solidity numeric
@attribute Stoc_Convexity numeric
@attribute Isop_Factor numeric
@attribute Max_Ind_Depth numeric
@attribute Lobedness numeric
@attribute Ave_Intensity numeric
@attribute Ave_Contrast numeric
@attribute Smoothness numeric
@attribute Thir_moment numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute Class(Species) {SP_1,SP_2,SP_3,SP_4,SP_5,SP_6,SP_7,SP_8,SP_9,SP_10,SP_11,SP_12,SP_13,SP_14,SP_15,SP_22,SP_23,SP_24,SP_25,SP_26,SP_27,SP_28,SP_29,SP_30,SP_31,SP_32,SP_33,SP_34,SP_35,SP_36}

@data
0.906582,0.086596,0.616799,0.972825,1,0.656115,0.033846,0.001109,0.575009,0.651257,0.489452,0.375558,0.069591,0.594457,SP_28
0.645361,0.008685,0.318378,0.847578,0.9971,0.683502,0.140216,0.02305,0.287528,0.546353,0.368436,0.428215,0.050643,0.359222,SP_3
0.996529,0.036911,0.975193,0.894595,0.990214,0.054118,0.107715,0.020526,0.031671,0.099213,0.030751,0.028304,0.011276,0.087322,SP_31
0.803333,0.049826,0.476403,0.925877,0.986212,0.751175,0.042993,0.007056,0.083367,0.166065,0.060949,0.045373,0.047388,0.237784,SP_7
0.594955,0.016294,0.247345,0.880721,0.965121,0.7393,0.07712,0.007948,0.139377,0.197235,0.077777,0.041899,0.099648,0.420031,SP_4
0.570818,0.016854,0.18497,0.983222,1,0.957193,0.010977,0.000426,0.350233,0.457305,0.276625,0.188533,0.178658,0.604781,SP_13
0.894355,0.074076,0.567673,0.932237,0.990214,0.6117,0.105563,0.013797,0.220175,0.40791,0.230761,0.2181,0.081381,0.324879,SP_22
0.996597,0.036911,0.949746,0.828163,0.965121,0.114062,0.117009,0.016595,0.099657,0.22652,0.094804,0.089956,0.021303,0.223835,SP_34
0.907399,0.091163,0.625623,0.933398,0.988368,0.591631,0.047034,0.003472,0.518121,0.610016,0.441074,0.295578,0.096992,0.641369,SP_35
0.903413,0.088173,0.623538,0.888118,0.98863,0.550902,0.097005,0.014422,0.250664,0.439664,0.267949,0.163306,0.105335,0.570343,SP_12
0.773737,0.035954,0.358712,0.99166,1,0.944651,0.010504,0.000402,0.127505,0.232798,0.098636,0.076852,0.044091,0.322532,SP_27
0.856947,0.065325,0.549059,0.893409,0.991284,0.574177,0.212913,0.012232,0.298231,0.440005,0.260146,0.20439,0.105165,0.522823,SP_12
0.99607,0.036911,0.972645,0.901827,0.984443,0.085823,0.097195,0.015297,0.034168,0.120819,0.040701,0.038845,0.009991,0.080428,SP_31
0.903406,0.080437,0.598849,0.953697,0.959305,0.623409,0.02481,0.001296,0.471457,0.624285,0.458122,0.38836,0.155024,0.661927,SP_14
0.866202,0.040452,0.565984,0.913604,0.990214,0.432343,0.192438,0.041399,0.165712,0.271044,0.123349,0.085584,0.085731,0.364617,SP_5
0.91546,0.077677,0.709319,0.913604,0.983627,0.310832,0.198067,0.019613,0.187342,0.326773,0.167213,0.094549,0.115387,0.44763,SP_5
0.876764,0.058369,0.60195,0.91438,0.982552,0.514771,0.110926,0.02066,0.198037,0.351769,0.182972,0.160427,0.049432,0.191369,SP_22
0.662279,0.012477,0.694552,0.896211,0.983627,0.212908,0.111832,0.020526,0.095621,0.234498,0.064945,0.058706,0.03326,0.238795,SP_6
0.918098,0.099474,0.623303,0.944064,1,0.593671,0.035311,0.001133,0.318047,0.413336,0.235197,0.160333,0.127614,0.415143,SP_14
0.806446,0.055026,0.445841,0.936036,0.998734,0.778809,0.117166,0.019698,0.004196,0.042303,0.013539,0.002041,0.011005,0.061356,SP_29
0.692025,0.026138,0.264282,1,1,0.979661,0.000664,0.000019,0.114831,0.195994,0.077085,0.052617,0.063839,0.319444,SP_27
0.738151,0.033228,0.346169,0.988606,1,0.949885,0.010508,0.00047,0.130447,0.247126,0.108091,0.080843,0.067237,0.339783,SP_27
