@relation removedFeaturescleanedleaf-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.8-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P14.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute Eccentricity numeric
@attribute Asp_Ratio numeric
@attribute Elongation numeric
@attribute Solidity numeric
@attribute Isop_Factor numeric
@attribute Max_Ind_Depth numeric
@attribute Ave_Contrast numeric
@attribute Entropy numeric
@attribute Class(Species) {SP_1,SP_2,SP_3,SP_4,SP_5,SP_6,SP_7,SP_8,SP_9,SP_10,SP_11,SP_12,SP_13,SP_14,SP_15,SP_22,SP_23,SP_24,SP_25,SP_26,SP_27,SP_28,SP_29,SP_30,SP_31,SP_32,SP_33,SP_34,SP_35,SP_36}

@data
0.915311,0.051257,0.648682,0.938361,0.559953,0.100382,0.500497,0.514873,SP_28
0.995815,0.036911,0.975676,0.891961,0.085157,0.124751,0.14373,0.080942,SP_31
0.995716,0.036911,0.960654,0.890651,0.12926,0.120241,0.157861,0.100101,SP_31
0.849714,0.058729,0.524311,0.912313,0.604413,0.15142,0.413304,0.492878,SP_7
0.99882,0.036911,0.996372,0.891961,0.042017,0.124751,0.071501,0.090445,SP_31
0.276976,0.002812,0.183793,0.892504,0.659983,0.238517,1,0.981056,SP_10
0.797205,0.047872,0.434456,0.969335,0.737581,0.023338,0.438913,0.518412,SP_33
0.535712,0.017558,0.349506,0.795846,0.463454,0.229783,0.641464,0.760506,SP_9
0.823214,0.047173,0.489693,0.841677,0.675679,0.132033,0.332202,0.373794,SP_7
0.863102,0.074859,0.597735,0.877161,0.451781,0.095867,0.479924,0.592239,SP_12
0.909418,0.090476,0.619676,0.94697,0.569791,0.087918,0.541583,0.287307,SP_22
0.266869,0.007731,0.110797,0.950589,0.814269,0.075927,0.265377,0.276106,SP_24
0.997237,0.036911,0.969437,0.916201,0.097039,0.122219,0.098603,0.070436,SP_31
0.996575,0.036911,0.949377,0.845139,0.118948,0.107368,0.198795,0.198196,SP_34
0.570818,0.016854,0.18497,0.983222,0.957193,0.010977,0.457305,0.604781,SP_13
0.874616,0.053383,0.5771,0.913604,0.388815,0.220016,0.287519,0.364863,SP_5
0.902235,0.086277,0.575059,0.939334,0.588878,0.09538,0.435302,0.301458,SP_22
0.40951,0.008915,0.621967,0.913604,0.249863,0.124751,0.067205,0.143052,SP_6
0.893953,0.078751,0.565996,0.940115,0.594139,0.034529,0.464157,0.563772,SP_14
0.81707,0.056327,0.447282,0.929766,0.667017,0.142488,0.011516,0.051935,SP_29
0.480031,0.014935,0.312003,0.792344,0.595619,0.128995,0.441177,0.383325,SP_9
0.786971,0.038011,0.35968,0.996381,0.92938,0.010469,0.249527,0.32939,SP_27
0.986071,0.036911,0.879902,0.919078,0.283981,0.084553,0.251529,0.258316,SP_8
0.594955,0.016294,0.247345,0.880721,0.7393,0.07712,0.197235,0.420031,SP_4
0.995962,0.036911,0.946404,0.846692,0.107804,0.15444,0.150492,0.169375,SP_34
0.419246,0.011641,0.320317,0.818505,0.592067,0.149607,0.607753,0.682289,SP_9
0.916193,0.095356,0.65018,0.916701,0.478816,0.126108,0.326675,0.232579,SP_22
0.779068,0.048599,0.430804,0.875647,0.643427,0.208778,0.115443,0.045563,SP_29
0.762871,0.045033,0.411452,0.912292,0.711805,0.140379,0.040563,0.077165,SP_29
0.685843,0.029033,0.296718,0.97258,0.907744,0.054595,0.327149,0.322894,SP_33
0.877647,0.071614,0.55968,0.96068,0.727899,0.063395,0.214483,0.292887,SP_2
0.721263,0.034348,0.363826,0.857364,0.731972,0.211139,0.917389,0.623359,SP_25
0.997516,0.036911,0.95074,0.850358,0.093379,0.096755,0.168825,0.175496,SP_34
0.370186,0.010107,0.437336,0.912461,0.338945,0.101579,0.571916,0.885668,SP_15
0.866236,0.063245,0.514636,0.992152,0.821874,0.001673,0.386608,0.313639,SP_32
0.818966,0.062852,0.454083,0.99054,0.824856,0.007185,0.307904,0.296122,SP_32
